iter	Passed	Remaining
402	12825	18999
403	12853	18962
404	12887	18933
405	12917	18899
406	12948	18865
407	12978	18830
408	13009	18798
409	13036	18759
410	13065	18723
411	13091	18684
412	13121	18649
413	13149	18612
414	13186	18587
415	13219	18558
416	13247	18521
417	13287	18501
418	13323	18474
419	13367	18459
420	13403	18433
421	13443	18413
422	13475	18381
423	13512	18356
424	13547	18329
425	13590	18311
426	13631	18292
427	13666	18264
428	13705	18241
429	13751	18228
430	13796	18214
431	13837	18194
432	13885	18182
433	13928	18164
434	13963	18136
435	13993	18101
436	14027	18072
437	14055	18035
438	14084	17999
439	14111	17960
440	14143	17927
441	14173	17892
442	14201	17856
443	14230	17820
444	14263	17789
445	14296	17758
446	14324	17720
447	14353	17685
448	14384	17652
449	14414	17618
450	14450	17590
451	14480	17556
452	14512	17523
453	14542	17489
454	14571	17453
455	14598	17416
456	14630	17383
457	14663	17353
458	14693	17318
459	14724	17284
460	14752	17248
461	14784	17216
462	14816	17185
463	14843	17147
464	14869	17107
465	14896	17070
466	14924	17034
467	14954	16999
468	14983	16964
469	15014	16930
470	15044	16896
471	15074	16863
472	15104	16829
473	15132	16792
474	15160	16755
475	15186	16717
476	15217	16684
477	15245	16649
478	15274	16613
479	15301	16576
480	15328	16539
481	15357	16504
482	15387	16470
483	15416	16435
484	15445	16401
485	15472	16363
486	15498	16326
487	15525	16288
488	15553	16253
489	15582	16218
490	15611	16184
491	15641	16150
492	15668	16113
493	15702	16083
494	15732	16050
495	15764	16019
496	15793	15984
497	15821	15948
498	15849	15912
499	15876	15876
500	15905	15842
501	15935	15808
502	15966	15776
503	15997	15743
504	16025	15708
505	16054	15673
506	16080	15636
507	16108	15601
508	16135	15564
509	16162	15528
510	16197	15499
511	16221	15461
512	16249	15425
513	16283	15396
514	16312	15362
515	16339	15326
516	16365	15289
517	16396	15256
518	16424	15221
519	16450	15184
520	16478	15149
521	16510	15119
522	16539	15085
523	16569	15051
524	16598	15017
525	16632	14988
526	16661	14954
527	16689	14919
528	16721	14888
529	16750	14854
530	16780	14821
531	16812	14789
532	16841	14756
533	16868	14720
534	16897	14686
535	16926	14653
536	16956	14620
537	16988	14589
538	17017	14554
539	17043	14518
540	17073	14485
541	17100	14450
542	17130	14417
543	17160	14384
544	17189	14350
545	17223	14321
546	17257	14291
547	17289	14260
548	17323	14231
549	17357	14201
550	17389	14170
551	17421	14138
552	17453	14107
553	17484	14075
554	17518	14046
555	17555	14018
556	17596	13995
557	17628	13963
558	17666	13937
559	17707	13913
560	17738	13881
561	17774	13852
562	17803	13818
563	17834	13786
564	17861	13752
565	17886	13715
566	17914	13681
567	17945	13649
568	17976	13616
569	18003	13581
570	18031	13547
571	18059	13513
572	18087	13478
573	18113	13442
574	18145	13411
575	18172	13377
576	18202	13344
577	18234	13313
578	18261	13278
579	18290	13244
580	18320	13211
581	18346	13176
582	18375	13143
583	18404	13109
584	18431	13075
585	18462	13043
586	18489	13009
587	18513	12972
588	18543	12939
589	18573	12906
590	18602	12873
591	18633	12841
592	18663	12809
593	18695	12778
594	18721	12743
595	18751	12710
596	18784	12680
597	18813	12647
598	18838	12611
599	18868	12579
600	18896	12545
601	18926	12513
602	18962	12484
603	18995	12453
604	19032	12426
605	19067	12397
606	19102	12368
607	19142	12342
608	19175	12311
609	19206	12279
610	19247	12254
611	19282	12225
612	19314	12193
613	19348	12163
614	19387	12136
615	19424	12108
616	19464	12082
617	19502	12054
618	19539	12026
619	19573	11996
620	19609	11967
621	19646	11939
622	19678	11908
623	19708	11875
624	19740	11844
625	19768	11810
626	19799	11778
627	19827	11744
628	19859	11713
629	19887	11679
630	19914	11645
631	19944	11613
632	19975	11581
633	20005	11548
634	20033	11515
635	20065	11484
636	20096	11452
637	20124	11418
638	20155	11386
639	20184	11353
640	20210	11319
641	20242	11287
642	20274	11256
643	20303	11223
644	20334	11191
645	20365	11160
646	20396	11128
647	20424	11094
648	20459	11065
649	20500	11038
650	20531	11006
651	20564	10976
652	20597	10945
653	20626	10912
654	20655	10879
655	20682	10845
656	20713	10813
657	20743	10781
658	20772	10748
659	20803	10716
660	20833	10684
661	20861	10651
662	20889	10618
663	20915	10583
664	20946	10552
665	20974	10518
666	21004	10486
667	21034	10454
668	21062	10421
669	21092	10388
670	21123	10357
671	21149	10322
672	21176	10289
673	21206	10257
674	21231	10222
675	21259	10189
676	21289	10157
677	21315	10123
678	21345	10091
679	21369	10056
680	21400	10024
681	21429	9992
682	21460	9960
683	21487	9926
684	21516	9894
685	21543	9861
686	21569	9827
687	21596	9793
688	21625	9761
689	21654	9728
690	21679	9694
691	21704	9660
692	21731	9627
693	21758	9593
694	21787	9561
695	21814	9528
696	21846	9497
697	21874	9464
698	21900	9430
699	21927	9397
700	21958	9366
701	21983	9332
702	22013	9300
703	22043	9268
704	22069	9234
705	22099	9202
706	22127	9170
707	22156	9137
708	22182	9104
709	22210	9071
710	22237	9038
711	22265	9006
712	22293	8973
713	22319	8940
714	22349	8908
715	22375	8875
716	22401	8841
717	22431	8809
718	22458	8777
719	22485	8744
720	22515	8712
721	22542	8679
722	22573	8648
723	22602	8616
724	22637	8586
725	22663	8553
726	22689	8520
727	22721	8489
728	22750	8457
729	22779	8425
730	22813	8395
731	22848	8365
732	22878	8333
733	22914	8304
734	22946	8273
735	22980	8243
736	23011	8211
737	23045	8181
738	23073	8149
739	23108	8119
740	23137	8087
741	23167	8055
742	23199	8024
743	23229	7992
744	23261	7962
745	23295	7931
746	23327	7900
747	23358	7869
748	23391	7838
749	23422	7807
750	23456	7777
751	23488	7746
752	23516	7713
753	23542	7680
754	23572	7649
755	23603	7618
756	23632	7586
757	23663	7554
758	23689	7522
759	23716	7489
760	23744	7457
761	23771	7424
762	23801	7393
763	23831	7361
764	23858	7329
765	23889	7297
766	23922	7267
767	23949	7234
768	23978	7202
769	24006	7170
770	24034	7138
771	24066	7107
772	24092	7075
773	24119	7042
774	24146	7010
775	24172	6977
776	24200	6945
777	24229	6913
778	24257	6881
779	24286	6850
780	24317	6818
781	24343	6786
782	24376	6755
783	24407	6724
784	24435	6692
785	24464	6660
786	24492	6628
787	24519	6596
788	24546	6564
789	24575	6532
790	24602	6500
791	24629	6468
792	24665	6438
793	24704	6409
794	24741	6379
795	24779	6350
796	24814	6320
797	24851	6290
798	24889	6261
799	24927	6231
800	24960	6201
801	25005	6173
802	25048	6145
803	25090	6116
804	25133	6088
805	25175	6059
806	25212	6029
807	25253	6000
808	25290	5970
809	25324	5940
810	25352	5908
811	25381	5876
812	25407	5844
813	25435	5812
814	25467	5781
815	25497	5749
816	25525	5717
817	25554	5685
818	25581	5653
819	25609	5621
820	25639	5590
821	25666	5557
822	25695	5526
823	25723	5494
824	25750	5462
825	25782	5431
826	25810	5399
827	25840	5367
828	25871	5336
829	25902	5305
830	25932	5273
831	25963	5242
832	25989	5210
833	26018	5178
834	26043	5146
835	26070	5114
836	26100	5082
837	26130	5051
838	26160	5020
839	26184	4987
840	26210	4955
841	26238	4923
842	26266	4891
843	26296	4860
844	26324	4828
845	26351	4796
846	26382	4765
847	26408	4733
848	26435	4701
849	26465	4670
850	26495	4639
851	26523	4607
852	26551	4575
853	26581	4544
854	26610	4512
855	26639	4481
856	26665	4449
857	26690	4417
